IP地址,端口号,TLS,数据中心,源IP位置,地区,城市,地区(中文),国家,城市(中文),国旗,网络延迟,出站IP,IP类型,访问协议,TLS版本,SNI,HTTP版本,WARP,Gateway,RBI,密钥交换,时间戳
35.156.134.213,443,TRUE,FRA,DE,Europe,Frankfurt-am-Main,欧洲,德国,法兰克福,????,204 ms,35.156.134.213,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365652
63.178.166.91,443,TRUE,FRA,DE,Europe,Frankfurt-am-Main,欧洲,德国,法兰克福,????,204 ms,63.178.166.91,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365722
54.202.144.146,443,TRUE,PDX,US,North America,Portland,北美洲,美国,波特兰,????,205 ms,2600:1f14:1a56:1600:ad33:f91:b78e:7d0d,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777367199
44.247.78.252,5010,TRUE,PDX,US,North America,Portland,北美洲,美国,波特兰,????,205 ms,2600:1f14:1a3b:7b00:7053:7279:43b5:e886,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777367970
54.153.62.161,443,TRUE,SJC,US,North America,San Jose,北美洲,美国,圣何塞,????,205 ms,54.153.62.161,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365611
100.23.124.155,443,TRUE,PDX,US,North America,Portland,北美洲,美国,波特兰,????,205 ms,100.23.124.155,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365712
18.199.97.136,443,TRUE,FRA,DE,Europe,Frankfurt-am-Main,欧洲,德国,法兰克福,????,206 ms,18.199.97.136,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777367621
213.170.157.1,443,TRUE,PDX,US,North America,Portland,北美洲,美国,波特兰,????,206 ms,185.71.228.0,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777367191
44.246.4.70,443,TRUE,PDX,US,North America,Portland,北美洲,美国,波特兰,????,206 ms,2600:1f13:5f0:ab00:b7c0:90cf:366d:a259,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365650
54.190.252.67,443,TRUE,PDX,US,North America,Portland,北美洲,美国,波特兰,????,207 ms,35.91.146.7,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365651
34.219.143.144,443,TRUE,PDX,US,North America,Portland,北美洲,美国,波特兰,????,207 ms,2600:1f13:e6d:1c00:275c:e4b1:2e22:d417,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777367181
34.212.240.129,443,TRUE,PDX,US,North America,Portland,北美洲,美国,波特兰,????,208 ms,34.212.240.129,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365749
54.200.155.142,443,TRUE,PDX,US,North America,Portland,北美洲,美国,波特兰,????,208 ms,52.41.2.155,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365611
44.239.217.174,443,TRUE,PDX,US,North America,Portland,北美洲,美国,波特兰,????,208 ms,52.88.46.51,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365648
54.189.115.254,443,TRUE,PDX,US,North America,Portland,北美洲,美国,波特兰,????,208 ms,44.255.73.202,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365611
18.192.69.254,443,TRUE,FRA,DE,Europe,Frankfurt-am-Main,欧洲,德国,法兰克福,????,209 ms,18.192.69.254,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777367594
52.43.37.114,443,TRUE,PDX,US,North America,Portland,北美洲,美国,波特兰,????,210 ms,2600:1f14:2343:ac00:528a:2a42:64da:e17d,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365646
34.222.161.163,443,TRUE,PDX,US,North America,Portland,北美洲,美国,波特兰,????,210 ms,2600:1f14:3da7:9d00:3627:18c0:67bb:c565,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365624
34.208.124.206,443,TRUE,PDX,US,North America,Portland,北美洲,美国,波特兰,????,210 ms,34.208.124.206,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365653
51.34.85.34,443,TRUE,ZRH,CH,Europe,Zurich,欧洲,瑞士,苏黎世,????,210 ms,51.34.85.34,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777367191
63.181.32.213,443,TRUE,FRA,DE,Europe,Frankfurt-am-Main,欧洲,德国,法兰克福,????,210 ms,2a05:d014:15ec:1600:1259:b635:930d:e60d,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777367200
18.132.12.142,443,TRUE,LHR,GB,Europe,London,欧洲,英国,伦敦,????,211 ms,2a05:d01c:82d:38cd:4df8:452b:45de:2cb8,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365632
3.72.93.27,443,TRUE,FRA,DE,Europe,Frankfurt-am-Main,欧洲,德国,法兰克福,????,211 ms,2a05:d014:8b9:9a02:ccdb:ae9f:d98f:3312,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777367188
18.134.196.127,443,TRUE,LHR,GB,Europe,London,欧洲,英国,伦敦,????,211 ms,18.134.196.127,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777367178
52.53.203.76,443,TRUE,SJC,US,North America,San Jose,北美洲,美国,圣何塞,????,211 ms,52.53.203.76,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365607
52.57.33.209,443,TRUE,FRA,DE,Europe,Frankfurt-am-Main,欧洲,德国,法兰克福,????,211 ms,2a05:d014:d9a:2000:9bf:4d5e:a15a:ebba,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777367575
16.63.207.85,443,TRUE,ZRH,CH,Europe,Zurich,欧洲,瑞士,苏黎世,????,211 ms,16.63.207.85,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365616
3.78.97.64,443,TRUE,FRA,DE,Europe,Frankfurt-am-Main,欧洲,德国,法兰克福,????,212 ms,2a05:d014:17af:ed00:867a:57c1:96af:ae45,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365586
18.185.128.209,443,TRUE,FRA,DE,Europe,Frankfurt-am-Main,欧洲,德国,法兰克福,????,212 ms,2a05:d014:95:7c00:fb8f:dd62:a430:e204,IPv6,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777367191
3.69.166.229,443,TRUE,FRA,DE,Europe,Frankfurt-am-Main,欧洲,德国,法兰克福,????,212 ms,3.69.166.229,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365628
40.177.65.8,443,TRUE,YYC,CA,North America,Calgary,北美洲,加拿大,卡尔加里,????,213 ms,40.177.65.8,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365629
52.27.220.177,443,TRUE,PDX,US,North America,Portland,北美洲,美国,波特兰,????,213 ms,34.221.207.204,IPv4,https,TLSv1.3,plaintext,http/1.1,off,off,off,X25519,1777365701
